County,County Code,Year,Intent,Deaths,Population,State,Rate
"Elmore County, AL",1051,2016,Homicide,13,81799,AL,15.89261482
"Elmore County, AL",1051,2018,Homicide,10,81887,AL,12.21195061
"Pitt County, NC",37147,2009,Homicide,15,165581,NC,9.059010394
"Pitt County, NC",37147,2010,Homicide,17,168148,NC,10.11014107
"Pitt County, NC",37147,2011,Homicide,11,171134,NC,6.427711618
"Pitt County, NC",37147,2012,Homicide,12,172554,NC,6.954344727
"Pitt County, NC",37147,2013,Homicide,10,174263,NC,5.738452798
"Pitt County, NC",37147,2015,Homicide,15,175842,NC,8.530385232
"Pitt County, NC",37147,2016,Homicide,16,177220,NC,9.028326374
"Pitt County, NC",37147,2018,Homicide,10,179914,NC,5.558211145
"Pitt County, NC",37147,2019,Homicide,15,180742,NC,8.299122506
"Berks County, PA",42011,2009,Homicide,15,409904,PA,3.659393419
"Berks County, PA",42011,2010,Homicide,19,411442,PA,4.617904832
"Berks County, PA",42011,2011,Homicide,18,412778,PA,4.360697518
"Berks County, PA",42011,2012,Homicide,17,413491,PA,4.11133495
"Berks County, PA",42011,2013,Homicide,13,413521,PA,3.143733934
"Berks County, PA",42011,2014,Homicide,14,413691,PA,3.384168377
"Berks County, PA",42011,2015,Homicide,15,415271,PA,3.612099087
"Berks County, PA",42011,2016,Homicide,16,414812,PA,3.857169031
"Berks County, PA",42011,2017,Homicide,19,417854,PA,4.547042747
"Berks County, PA",42011,2018,Homicide,19,420152,PA,4.522172928
"Berks County, PA",42011,2019,Homicide,16,421164,PA,3.798995166
"Spartanburg County, SC",45083,2009,Homicide,18,283335,SC,6.352903806
"Spartanburg County, SC",45083,2010,Homicide,19,284307,SC,6.682916706
"Spartanburg County, SC",45083,2011,Homicide,20,286868,SC,6.971847679
"Spartanburg County, SC",45083,2012,Homicide,23,288745,SC,7.965505896
"Spartanburg County, SC",45083,2014,Homicide,12,293542,SC,4.088001036
"Spartanburg County, SC",45083,2015,Homicide,27,297302,SC,9.081674526
"Spartanburg County, SC",45083,2016,Homicide,19,301463,SC,6.302597665
"Spartanburg County, SC",45083,2017,Homicide,21,306854,SC,6.843645512
"Spartanburg County, SC",45083,2018,Homicide,30,313888,SC,9.55754919
"Spartanburg County, SC",45083,2019,Homicide,35,319785,SC,10.94485357
"Portsmouth city, VA",51740,2009,Homicide,15,95384,VA,15.72590791
"Portsmouth city, VA",51740,2010,Homicide,13,95535,VA,13.60757837
"Portsmouth city, VA",51740,2011,Homicide,15,95684,VA,15.67660215
"Portsmouth city, VA",51740,2012,Homicide,12,96470,VA,12.43910024
"Portsmouth city, VA",51740,2014,Homicide,13,96004,VA,13.54110245
"Portsmouth city, VA",51740,2015,Homicide,20,96201,VA,20.78980468
"Portsmouth city, VA",51740,2016,Homicide,17,95252,VA,17.84739428
"Portsmouth city, VA",51740,2017,Homicide,15,94572,VA,15.86093135
"Portsmouth city, VA",51740,2018,Homicide,19,94632,VA,20.07777496
"Portsmouth city, VA",51740,2019,Homicide,17,94398,VA,18.00885612
"Indian River County, FL",12061,2014,Homicide,11,144755,FL,7.599046665
"Indian River County, FL",12061,2018,Homicide,12,157413,FL,7.623258562
"Iberia Parish, LA",22045,2016,Homicide,10,73273,LA,13.64759188
"Iberia Parish, LA",22045,2018,Homicide,11,70941,LA,15.50584288
"Iberia Parish, LA",22045,2019,Homicide,11,69830,LA,15.75254189
"Sumter County, SC",45085,2009,Homicide,15,107004,SC,14.01816755
"Sumter County, SC",45085,2010,Homicide,10,107456,SC,9.306134604
"Sumter County, SC",45085,2011,Homicide,11,107460,SC,10.23636702
"Sumter County, SC",45085,2012,Homicide,14,108052,SC,12.95672454
"Sumter County, SC",45085,2015,Homicide,11,107480,SC,10.23446223
"Sumter County, SC",45085,2017,Homicide,10,106847,SC,9.359177141
"Sumter County, SC",45085,2018,Homicide,10,106512,SC,9.38861349
"Sumter County, SC",45085,2019,Homicide,15,106721,SC,14.05534056
"Fort Bend County, TX",48157,2009,Homicide,33,569130,TX,5.798323757
